label,filepath
ham,data/019/149
ham,data/064/093
ham,data/005/068
spam,data/046/259
spam,data/017/192
spam,data/023/214
spam,data/029/031
ham,data/110/069
spam,data/094/241
ham,data/020/076
ham,data/094/060
ham,data/125/161
spam,data/099/002
spam,data/110/155
spam,data/015/221
spam,data/070/155
spam,data/084/045
ham,data/011/099
spam,data/057/114
spam,data/105/265
spam,data/102/115
spam,data/004/044
spam,data/085/068
ham,data/024/044
spam,data/115/051
spam,data/011/080
spam,data/086/240
spam,data/111/107
ham,data/044/083
ham,data/089/161
spam,data/053/027
spam,data/000/271
ham,data/089/180
spam,data/027/243
ham,data/077/067
ham,data/125/188
spam,data/033/184
ham,data/018/155
spam,data/034/083
spam,data/105/030
ham,data/068/185
spam,data/009/204
ham,data/110/186
ham,data/048/030
ham,data/061/046
ham,data/106/244
ham,data/116/089
ham,data/003/286
ham,data/005/187
spam,data/007/275
ham,data/107/105
spam,data/046/261
spam,data/095/031
ham,data/059/170
ham,data/034/288
spam,data/025/189
spam,data/034/148
ham,data/052/136
spam,data/060/213
spam,data/085/051
ham,data/045/075
spam,data/092/243
spam,data/093/114
ham,data/021/183
spam,data/092/252
spam,data/036/147
ham,data/059/144
spam,data/009/272
spam,data/020/022
ham,data/056/076
spam,data/090/115
ham,data/003/115
spam,data/068/080
ham,data/104/289
spam,data/113/298
ham,data/020/134
ham,data/100/198
ham,data/100/053
spam,data/110/294
spam,data/050/083
spam,data/070/283
spam,data/015/233
ham,data/052/275
ham,data/073/028
ham,data/116/123
spam,data/114/194
spam,data/021/170
spam,data/067/040
spam,data/081/124
spam,data/055/217
ham,data/014/265
spam,data/094/233
spam,data/025/267
ham,data/056/130
spam,data/062/153
ham,data/046/265
ham,data/058/004
ham,data/015/126
spam,data/062/239
ham,data/075/051
spam,data/078/074
ham,data/059/030
ham,data/045/131
ham,data/046/126
ham,data/070/241
ham,data/023/290
spam,data/082/101
spam,data/110/254
spam,data/080/019
spam,data/079/047
spam,data/057/182
ham,data/109/020
spam,data/035/066
spam,data/005/003
spam,data/114/183
ham,data/074/107
spam,data/019/232
spam,data/089/268
ham,data/070/029
ham,data/044/251
spam,data/028/180
ham,data/016/066
spam,data/016/266
spam,data/057/096
ham,data/050/263
ham,data/096/084
spam,data/097/241
spam,data/105/050
ham,data/027/165
