Metric,Value
Accuracy,0.9888
Macro_Precision,0.9888
Macro_Recall,0.9885
Macro_F1_Score,0.9886
MCC,0.9871
Class_1_Precision,0.9911
Class_1_Recall,0.9911
Class_1_F1_Score,0.9911
Class_2_Precision,0.9817
Class_2_Recall,0.9907
Class_2_F1_Score,0.9862
Class_3_Precision,0.9898
Class_3_Recall,1.0000
Class_3_F1_Score,0.9949
Class_4_Precision,1.0000
Class_4_Recall,0.9886
Class_4_F1_Score,0.9943
Class_5_Precision,1.0000
Class_5_Recall,1.0000
Class_5_F1_Score,1.0000
Class_6_Precision,0.9890
Class_6_Recall,0.9783
Class_6_F1_Score,0.9836
Class_7_Precision,1.0000
Class_7_Recall,1.0000
Class_7_F1_Score,1.0000
Class_8_Precision,0.9592
Class_8_Recall,0.9592
Class_8_F1_Score,0.9592
